date,price
2006-01-01,34.07
2006-02-01,31.86
2006-03-01,29.26
2006-04-01,29.72
2006-05-01,29.91
2006-06-01,30.47
2006-07-01,30.88
2006-08-01,30.1
2006-09-01,31.34
2006-10-01,31.75
2006-11-01,33.42
2006-12-01,36.31
2007-01-01,37.04
2007-02-01,38.04
2007-03-01,36.12
2007-04-01,35.03
2007-05-01,37.24
2007-06-01,37.79
2007-07-01,38.37
2007-08-01,39.37
2007-09-01,39.92
2007-10-01,41.63
2007-11-01,53.6
2007-12-01,56.83
2008-01-01,66.37
2008-02-01,64.01
2008-03-01,65.98
2008-04-01,71.48
2008-05-01,66.56
2008-06-01,66.75
2008-07-01,65.69
2008-08-01,63.38
2008-09-01,63.52
2008-10-01,64.88
2008-11-01,66.37
2008-12-01,67.48
2009-01-01,68.76
2009-02-01,68.18
2009-03-01,63.58
2009-04-01,61.17
2009-05-01,62.41
2009-06-01,63.21
2009-07-01,62.8
2009-08-01,62.76
2009-09-01,62.9
2009-10-01,63.53
2009-11-01,65.51
2009-12-01,72.01
2010-01-01,77.38
2010-02-01,75.42
2010-03-01,63.12
2010-04-01,59.03
2010-05-01,58.14
2010-06-01,56.84
2010-07-01,55.73
2010-08-01,54.74
2010-09-01,53.46
2010-10-01,55.57
2010-11-01,60.35
2010-12-01,62.18
2011-01-01,60.95
2011-02-01,63.03
2011-03-01,62.6
2011-04-01,62.35
2011-05-01,62.33
2011-06-01,62.26
2011-07-01,61.88
2011-08-01,60.83
2011-09-01,58.39
2011-10-01,58.78
2011-11-01,60.51
2011-12-01,62.54
2012-01-01,61.54
2012-02-01,59.53
2012-03-01,58.66
2012-04-01,57.64
2012-05-01,57.07
2012-06-01,58.04
2012-07-01,59.48
2012-08-01,58.91
2012-09-01,61.44
2012-10-01,61.98
2012-11-01,62.72
2012-12-01,63.58
2013-01-01,63.81
2013-02-01,63.15
2013-03-01,62.88
2013-04-01,63.3
2013-05-01,63.64
2013-06-01,63.01
2013-07-01,62.92
2013-08-01,62.61
2013-09-01,62.69
2013-10-01,63.29
2013-11-01,64.65
2013-12-01,66.34
2014-01-01,68.09
2014-02-01,69.91
2014-03-01,70.27
2014-04-01,72.99
2014-05-01,74.74
2014-06-01,75.8
2014-07-01,77.74
2014-08-01,79.79
2014-09-01,85.46
2014-10-01,86.74
2014-11-01,88.83
2014-12-01,88.31
2015-01-01,88.05
2015-02-01,85.41
2015-03-01,81.34
2015-04-01,79.12
2015-05-01,78.49
2015-06-01,76.38
2015-07-01,75.01
2015-08-01,72.59
2015-09-01,73.31
2015-10-01,73.89
2015-11-01,77.35
2015-12-01,78.5
2016-01-01,77.95
2016-02-01,76.67
2016-03-01,75.75
2016-04-01,76.16
2016-05-01,77.85
2016-06-01,77.9
2016-07-01,77.43
2016-08-01,76.19
2016-09-01,76.49
2016-10-01,79.15
2016-11-01,83.92
2016-12-01,91.29
2017-01-01,96.09
2017-02-01,95.8
2017-03-01,85.58
2017-04-01,87.81
2017-05-01,90.29
2017-06-01,95.48
2017-07-01,96.01
2017-08-01,95.76
2017-09-01,98.19
2017-10-01,101.84
2017-11-01,104.78
2017-12-01,103.61
2018-01-01,101.72
2018-02-01,96.29
2018-03-01,94.49
2018-04-01,96.13
2018-05-01,100.09
2018-06-01,97.27
2018-07-01,94.48
2018-08-01,92.09
2018-09-01,91.46
2018-10-01,91.97
2018-11-01,89.27
2018-12-01,89.9
2019-01-01,93.0
2019-02-01,91.33
2019-03-01,91.36
2019-04-01,88.48
2019-05-01,90.15
2019-06-01,88.56
2019-07-01,87.99
2019-08-01,89.06
2019-09-01,92.08
2019-10-01,96.74
2019-11-01,99.21
2019-12-01,103.29
2020-01-01,94.66
2020-02-01,98.0
2020-03-01,98.0
2020-04-01,
2020-05-01,96.0
2020-06-01,100.19
2020-07-01,98.97
2020-08-01,99.16
2020-09-01,99.85
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,110.93
2021-02-01,107.15
2021-03-01,108.65
2021-04-01,113.84
2021-05-01,117.56
2021-06-01,127.5
2021-07-01,121.77
2021-08-01,119.95
2021-09-01,110.22
2021-10-01,124.68
2021-11-01,139.03
2021-12-01,138.5
2022-01-01,158.14
2022-02-01,161.16
2022-03-01,173.79
2022-04-01,211.24
2022-05-01,217.29
2022-06-01,247.14
2022-07-01,250.07
2022-08-01,239.24
2022-09-01,228.44
2022-10-01,224.78
2022-11-01,222.28
2022-12-01,218.2
